date,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,season,home_r3_win_pct,home_r3_pts_scored,home_r3_pts_allowed,home_r3_point_diff,home_r3_cover_rate,home_r5_win_pct,home_r5_pts_scored,home_r5_pts_allowed,home_r5_point_diff,home_r5_cover_rate,home_r8_win_pct,home_r8_pts_scored,home_r8_pts_allowed,home_r8_point_diff,home_r8_cover_rate,home_r11_win_pct,home_r11_pts_scored,home_r11_pts_allowed,home_r11_point_diff,home_r11_cover_rate,home_home_rolling_win_pct,home_away_rolling_win_pct,home_games_last_7d,home_venue_streak,away_r3_win_pct,away_r3_pts_scored,away_r3_pts_allowed,away_r3_point_diff,away_r3_cover_rate,away_r5_win_pct,away_r5_pts_scored,away_r5_pts_allowed,away_r5_point_diff,away_r5_cover_rate,away_r8_win_pct,away_r8_pts_scored,away_r8_pts_allowed,away_r8_point_diff,away_r8_cover_rate,away_r11_win_pct,away_r11_pts_scored,away_r11_pts_allowed,away_r11_point_diff,away_r11_cover_rate,away_home_rolling_win_pct,away_away_rolling_win_pct,away_games_last_7d,away_venue_streak
2023-11-04,Miami Heat,Washington Wizards,121,114,1.25,4.12,False,True,235,7,2023-2024,0.0,103.0,112.33333333333333,-9.333333333333334,0.0,0.2,104.6,111.6,-7.0,0.2,,,,,,,,,,,0.5,0.0,3,1,0.3333333333333333,113.66666666666667,120.66666666666667,-7.0,0.3333333333333333,,,,,,,,,,,,,,,,1.0,0.0,3,1
2023-11-04,Denver Nuggets,Dallas Mavericks,125,114,1.43,2.92,False,True,239,11,2023-2024,0.6666666666666666,109.0,102.33333333333333,6.666666666666667,0.6666666666666666,0.8,110.8,103.6,7.2,0.8,,,,,,,,,,,1.0,1.0,3,0,1.0,121.33333333333333,111.66666666666667,9.666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,1.0,1.0,2,0
2023-11-04,Chicago Bulls,Brooklyn Nets,107,109,1.59,2.44,False,False,216,-2,2023-2024,0.3333333333333333,106.33333333333333,112.33333333333333,-6.0,0.0,0.4,105.4,112.8,-7.4,0.2,,,,,,,,,,,0.5,0.5,3,0,0.6666666666666666,120.66666666666667,117.0,3.6666666666666665,0.3333333333333333,,,,,,,,,,,,,,,,,0.6666666666666666,2,3
2023-11-04,Portland Trail Blazers,Memphis Grizzlies,115,113,2.38,1.62,True,True,228,2,2023-2024,0.6666666666666666,102.33333333333333,106.0,-3.6666666666666665,0.0,0.4,103.0,108.6,-5.6,0.0,,,,,,,,,,,0.0,0.3333333333333333,3,0,0.0,108.33333333333333,123.66666666666667,-15.333333333333334,0.0,0.0,106.6,118.0,-11.4,0.0,,,,,,,,,,,0.0,0.0,3,1
2023-11-04,Indiana Pacers,Cleveland Cavaliers,121,116,2.12,1.76,False,True,237,5,2023-2024,0.3333333333333333,111.33333333333333,126.66666666666667,-15.333333333333334,0.3333333333333333,,,,,,,,,,,,,,,,0.5,1.0,3,0,0.3333333333333333,99.66666666666667,107.66666666666667,-8.0,0.0,0.4,103.6,108.8,-5.2,0.2,,,,,,,,,,,0.0,1.0,3,1
2023-11-05,Brooklyn Nets,Boston Celtics,114,124,4.66,1.21,False,False,238,-10,2023-2024,1.0,117.0,111.0,6.0,0.3333333333333333,0.6,116.8,114.4,2.4,0.2,,,,,,,,,,,0.0,0.6666666666666666,3,0,1.0,133.33333333333334,107.33333333333333,26.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,2,0
2023-11-05,Denver Nuggets,Chicago Bulls,123,101,1.25,4.18,False,True,224,22,2023-2024,0.6666666666666666,108.0,108.66666666666667,-0.6666666666666666,0.6666666666666666,0.8,112.0,105.0,7.0,0.8,,,,,,,,,,,1.0,1.0,4,1,0.3333333333333333,108.0,109.33333333333333,-1.3333333333333333,0.0,0.4,106.0,109.8,-3.8,0.2,,,,,,,,,,,0.5,0.3333333333333333,3,0
2023-11-05,Houston Rockets,Sacramento Kings,107,89,2.17,1.73,False,True,196,18,2023-2024,0.3333333333333333,115.0,117.0,-2.0,0.3333333333333333,,,,,,,,,,,,,,,,0.5,0.0,2,2,0.3333333333333333,115.66666666666667,117.0,-1.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,0.0,0.5,2,1
2023-11-05,Minnesota Timberwolves,Utah Jazz,123,95,1.32,3.51,False,True,218,28,2023-2024,0.6666666666666666,109.66666666666667,102.0,7.666666666666667,0.3333333333333333,,,,,,,,,,,,,,,,1.0,0.0,2,1,0.3333333333333333,116.0,111.33333333333333,4.666666666666667,0.3333333333333333,0.4,114.4,115.6,-1.2,0.2,,,,,,,,,,,0.6666666666666666,0.0,3,0
2023-11-05,New Orleans Pelicans,Atlanta Hawks,105,123,1.77,2.1,False,False,228,-18,2023-2024,0.6666666666666666,112.33333333333333,117.33333333333333,-5.0,0.3333333333333333,0.8,108.8,108.6,0.2,0.6,,,,,,,,,,,0.6666666666666666,1.0,3,1,1.0,128.0,114.66666666666667,13.333333333333334,0.3333333333333333,0.6,122.8,117.2,5.6,0.2,,,,,,,,,,,0.5,0.5,3,0
2023-11-05,Philadelphia 76ers,Phoenix Suns,112,100,1.4,3.02,False,True,212,12,2023-2024,1.0,118.0,101.33333333333333,16.666666666666668,1.0,,,,,,,,,,,,,,,,1.0,0.0,2,2,0.3333333333333333,120.33333333333333,117.0,3.3333333333333335,0.3333333333333333,0.4,112.8,111.0,1.8,0.2,,,,,,,,,,,0.5,0.5,2,0
2023-11-05,Orlando Magic,Los Angeles Lakers,120,101,2.39,1.61,False,True,221,19,2023-2024,0.3333333333333333,106.66666666666667,112.33333333333333,-5.666666666666667,0.3333333333333333,0.6,107.6,104.0,3.6,0.6,,,,,,,,,,,1.0,0.3333333333333333,3,0,0.6666666666666666,121.0,120.0,1.0,0.6666666666666666,0.6,114.0,114.8,-0.8,0.6,,,,,,,,,,,1.0,0.0,3,0
2023-11-05,Indiana Pacers,Charlotte Hornets,124,125,1.51,2.63,False,False,249,-1,2023-2024,0.3333333333333333,110.0,127.66666666666667,-17.666666666666668,0.0,0.6,119.6,123.2,-3.6,0.4,,,,,,,,,,,0.6666666666666666,1.0,3,1,0.0,113.0,124.0,-11.0,0.0,,,,,,,,,,,,,,,,0.5,0.0,2,1
2023-11-06,Detroit Pistons,Phoenix Suns,106,120,2.33,1.64,False,False,226,-14,2023-2024,0.0,109.66666666666667,119.66666666666667,-10.0,0.0,0.4,111.6,112.0,-0.4,0.0,,,,,,,,,,,0.5,0.3333333333333333,3,0,0.0,111.66666666666667,119.66666666666667,-8.0,0.0,0.2,111.2,112.6,-1.4,0.2,,,,,,,,,,,0.5,0.3333333333333333,3,1
